SampleID	WellPositionFromJingxin	NewLayoutWellPosition	BioRep	Plate	Treatment	R1	R2
NewMolecule.A03-2	A03	F01	2	2	A03	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-F1_S61_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-F1_S61_R2_001.fastq.gz
NewMolecule.A04-2	A04	E01	2	2	A04	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-E1_S60_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-E1_S60_R2_001.fastq.gz
NewMolecule.A05-2	A05	D01	2	2	A05	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D1_S59_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-D1_S59_R2_001.fastq.gz
NewMolecule.A06-2	A06	C01	2	2	A06	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C1_S58_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-C1_S58_R2_001.fastq.gz
NewMolecule.A07-2	A07	B01	2	2	A07	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-B1_S57_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-B1_S57_R2_001.fastq.gz
NewMolecule.A08-2	A08	A01	2	2	A08	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-A1_S56_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-A1_S56_R2_001.fastq.gz
NewMolecule.A09-2	A09	H05	2	2	A09	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-H5_S95_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-H5_S95_R2_001.fastq.gz
NewMolecule.A10-2	A10	G05	2	2	A10	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-G5_S94_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-G5_S94_R2_001.fastq.gz
NewMolecule.A11-2	A11	F05	2	2	A11	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-F5_S93_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-F5_S93_R2_001.fastq.gz
NewMolecule.A12-2	A12	E05	2	2	A12	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-E5_S92_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-2-E5_S92_R2_001.fastq.gz
